text,prediction,true
"The aim of this experiment was to create SnI4 from the reaction between elemental tin and iodine and then to assess its properties by carrying out three tests. 1.0g of tin was added to a 100ml round bottom along with approximately 2.5g of iodine weighed accurately on a watch glass, which should then be added to the flask with a powder funnel. 10cm3 of toluene should be added to the flask along with some anti-bumping granules. The round bottom flask should then be heated under reflux with a heating mantle until the purple vapor turns clear and the solution has turned purple. The flask should then be removed from heat once the solvent stopped condensing the solution should be decanted into a 100ml flask, leaving unreacted tin which should be washed in acetone then dried on a watch glass and weighed. 10cm3 of petroleum spirit 40/60 should be added to the reaction flask and then left to cool to room temperature. Orange crystals should begin to form which once fully recrystallized should be separated from the solution using a Buchner funnel. A heaped microspatula of the crystal should be dissolved in 15ml of water and the pH should be checked. For the first test 2ml of the solution should be added to a test tube and 5 drops of 0.1m of silver nitrate should be added and the result observed and recorded For the second test 2ml of the solution should be added to a test tube and in a fume hood, a copper wire should be heated in a Bunsen until its red hot, placed in the test tube then placed back in the flame. The resulting colour in the flame should be recorded. For the third test 2ml of the solution should be added to another test tube along with 10 drops of 3% hydrogen peroxide and 2ml of petroleum ether and shaken for 30 seconds. The biphasic system that forms should be observed, and notes taken. The aim of this experiment was to create SnI4 from the reaction between elemental tin and iodine and then to assess its properties by carrying out three tests. 1.0g of tin was added to a 100ml round bottom along with approximately 2.5g of iodine weighed accurately on a watch glass, which should then be added to the flask with a powder funnel. 10cm3 of toluene should be added to the flask along with some anti-bumping granules. The round bottom flask should then be heated under reflux with a heating mantle until the purple vapor turns clear and the solution has turned purple. The flask should then be removed from heat once the solvent stopped condensing the solution should be decanted into a 100ml flask, leaving unreacted tin which should be washed in acetone then dried on a watch glass and weighed. 10cm3 of petroleum spirit 40/60 should be added to the reaction flask and then left to cool to room temperature. Orange crystals should begin to form which once fully recrystallized should be separated from the solution using a Buchner funnel. A heaped microspatula of the crystal should be dissolved in 15ml of water and the pH should be checked. For the first test 2ml of the solution should be added to a test tube and 5 drops of 0.1m of silver nitrate should be added and the result observed and recorded For the second test 2ml of the solution should be added to a test tube and in a fume hood, a copper wire should be heated in a Bunsen until its red hot, placed in the test tube then placed back in the flame. The resulting colour in the flame should be recorded.",0.7838712930679321,0.7799999713897705
"The aim of this experiment was to prepare a tin iodide species from its elements, then isolate it and examine the reactivity of the product by preforming a series of tests. In a 100 mL round-bottom flask, transfer 1.0g of tin metal with a plastic powder funnel, weigh 2.5g of Iodine onto a watch-glass, then carefully transfer the Iodine pellets into the flask containing the tin metal. Add 10 cm3 of Toluene then add 2-3 anti-bumping granules, set up a reflux condenser to the water supply and place it on a hot plate securely with clams. Set the temperature to around 60% until the purple vapor begins to condense in the reflux condenser, the solution should change from violet to orange. When the condensing solvent becomes clear turn the heat off and allow it to cool. Pour the solution into a 100 cm3 conical flask then add 10cm3 of Petroleum 40/60 and allow it to cool to be able to form crystals. Filter off the crystals with Petroleum 40/60 then weigh your dried crystals. Then you will execute a series of tests with a solution of SnI4 with water Test 1 � 4 or 5 drops of  0.1 M of silver nitrate with 1-2mL of the solution Test 2 � Using a Bunsen burner immerse a copper wire with the solution onto the flame Test 3 � With 1-2mL of the solution, 10 drops of 3% of hydrogen peroxide were added.",0.5579908490180969,0.44999998807907104
The aim of the experiment was to find the mass of residual tin after it had been under reflux conditions as well as the crystals produced after filtration. An investigation of the chemical properties of the tin iodide crystals that was obtained after both reflux and filtration under suction was also carried out.,0.4796118438243866,0.44999998807907104
"Name and Group Number Mwawasi Divine Kristy Mkamwasi Group 16 Date Submitted 27/11/2019 Aim This experiment was aimed at preparing a sample of tin iodide (SnI4) from its constituent elements, isolating the product and using chemical tests to investigate its reactivity. Procedure Toluene (10cm3) was added to a mixture of iodine (2.5g) and tin (1.0g). The resultant mixture was heated under reflux until the condensing solvent became clear and the initially purple solution turned orange. The reaction flask was allowed to cool until the solvent stopped condensing. The hot solution was then decanted to separate it from the residual tin metal. Petroleum spirit 40/60 (10cm3) was added to the hot solution before it was allowed to cool to room temperature. The residual tin was washed with acetone, dried and then weighed. When orange crystals began to form in the solution, it was put in an ice bath for 5 minutes to maximise crystallisation. The crystals were filtered out of the solution under suction and then washed using petroleum spirit 40/60 (10cm3). They were then allowed to dry and weighed. The product (heaped microspatula) was dissolved in water (20 mL). The pH of the resulting solution was then tested using pH paper. Three more chemical tests were performed on the resulting solution. In test one, silver nitrate (5 drops, 0.1M) was added to the solution (2mL). Test 2 was the �Beilstein� test where a glowing hot copper rod was immersed into the solution (2mL) and heated to test. In the final test,  Hydrogen peroxide (10 drops, 3%w/v) was added to the solution (2mL). It was then shaken and petrol(3mL)",0.739218533039093,0.8799999952316284
"The experiment aimed to react tin with iodine to create tin (IV) iodide crystals, then test the tin (IV) iodide for its reactivity. To form the tin (IV) iodide, white tin (0.99g) and iodine pellets (2.52g) were heated under reflux in toluene solvent (10ml). Once the solvent had become clear, the reaction mixture was left to cool. Then, the crystals were isolated and dried via vacuum filtration with petroleum 40-60 solvent. To calculate yields, the masses of tin (IV) iodide product and unreacted tin were weighed. Then, a microspatula-tip of the crystals were dissolved in the minimum volume of deionised water to form a solution. For test 1, a sample of the solution (c. 2mL) was mixed with silver (I) nitrate (0.1M, 5 drops), stirred and the change observed. For test 2, a clean copper wire was heated under a Bunsen burner, placed in the solution and then back into the Bunsen burner; the flame colour was then noted. For test 3, a sample of the solution (c. 2mL) was mixed with hydrogen peroxide (3%, 10 drops), stirred and the change observed.",0.6208409070968628,0.8500000238418579
"The aim of the experiment was to prepare the SnI4 from tin and iodine, isolate the product and examine its reactivity. 1g of tin metal, 2.5g of iodine, 10cm3 of toluene and 3 anti-bumping granules were added to a 100cm3 round bottom flask. The flask was then attached to a reflux condenser and placed in a heating mantle set to 100C to be heated until the purple vapour turned clear and the solution changed from purple to orange, the flask was then allowed to cool before the solution was decanted into a 100cm3 conical flask. 10cm3 of petroleum spirit 40/60 was added to the conical flask and left to cool in an ice bath. While the solution was cooling in the ice bath the left-over tin in the round bottom flask was washed with acetone then dried and weighed on a watch glass. The orange crystals formed in the conical flask were filtered and washed with cold petroleum spirit 40/60 under suction. The weight of the dried crystals was then recorded. To test the properties of the new crystals 1 heaped micro-spatula was dissolved in 15-20ml of water and shaken until the orange solid was no longer visible, the pH of the solution was tested using pH paper. The solution was then used in the following three tests. ~2ml of the solution was transferred to a test tube and 5 drops of 0.1M silver nitrate added, the mixture was then gently shaken and any observations recorded. ~2ml of the solution was transferred to a test tube and taken to a fume hood. A copper wire was heated until glowing red in a Bunsen burner and dipped into the solution. The wire was then heated in the Bunsen flame and the colour recorded. ~2ml of the solution was transferred to a test tube and 10 drops of 3% hydrogen peroxide added, the mixture was then gently shaken before ~2.5ml of petrol were added. The biphasic solution was swirled and any changes observed were recorded. The aim of the experiment was to prepare the SnI4 from tin and iodine, isolate the product and examine its reactivity. 1g of tin metal, 2.5g of iodine, 10cm3 of toluene and 3 anti-bumping granules were added to a 100cm3 round bottom flask. The flask was then attached to a reflux condenser and placed in a heating mantle set to 100C to be heated until the purple vapour turned clear and the solution changed from purple to orange, the flask was then allowed to cool before the solution was decanted into a 100cm3 conical flask. 10cm3 of petroleum spirit 40/60 was added to the conical flask and left to cool in an ice bath. While the solution was cooling in the ice bath the left-over tin in the round bottom flask was washed with acetone then dried and weighed on a watch glass. The orange crystals formed in the conical flask were filtered and washed with cold petroleum spirit 40/60 under suction. The weight of the dried crystals was then recorded. To test the properties of the new crystals 1 heaped micro-spatula was dissolved in 15-20ml of water and shaken until the orange solid was no longer visible, the pH of the solution was tested using pH paper. The solution was then used in the following three tests. ~2ml of the solution was transferred to a test tube and 5 drops of 0.1M silver nitrate added, the mixture was then gently shaken and any observations recorded. ~2ml of the solution was transferred to a test tube and taken to a fume hood. A copper wire was heated until glowing red in a Bunsen burner and dipped into the solution. The wire was then heated in the Bunsen flame and the colour recorded.",0.6528637409210205,0.7799999713897705
"The aim of this experiment was to form Snl4 and to perform three tests. To see how it reacts with silver nitrate, to see how it reacts when it is heated in a flame on a copper wire and to observe what happens when it is added to 3% hydrogen peroxide. Tin metal (1g), Iodine (2.5) and toluene (10 cm3) were heated in a reflux condenser with anti-bumping granules at approximately 60% power until the condensing solvent turned clear. The solution was decanted and petroleum 40/60 spirit (10cm3) was added and the solution was left to cool. The residual tin metal was washed out with acetone and weighed. The solution was cooled in an ice bath for five minutes. The crystals were filtered off and washed with cold petroleum spirit 40/60 (10 cm3) and weighed. A heaped micro spatula of Snl4 was dissolved in water (15-20mL) and three tests were carried out. Silver nitrate ( 0.1M, 5 drops) was added to the solution (1-2mL) and was gently shaken for 30 seconds. A wire was dipped into the solution (1-2mL) and held in a flame allowing the flame colour to be observed. 3% hydrogen peroxide (10 drops) was added to the solution (1-2mL) and shaken for 30 seconds. Petrol (3 drops) was added to this new solution and changes were observed. The aim of this experiment was to form Snl4 and to perform three tests. To see how it reacts with silver nitrate, to see how it reacts when it is heated in a flame on a copper wire and to observe what happens when it is added to 3% hydrogen peroxide. Tin metal (1g), Iodine (2.5) and toluene (10 cm3) were heated in a reflux condenser with anti-bumping granules at approximately 60% power until the condensing solvent turned clear. The solution was decanted and petroleum 40/60 spirit (10cm3) was added and the solution was left to cool. The residual tin metal was washed out with acetone and weighed. The solution was cooled in an ice bath for five minutes. The crystals were filtered off and washed with cold petroleum spirit 40/60 (10 cm3) and weighed. A heaped micro spatula of Snl4 was dissolved in water (15-20mL) and three tests were carried out. Silver nitrate ( 0.1M, 5 drops) was added to the solution (1-2mL) and was gently shaken for 30 seconds. A wire was dipped into the solution (1-2mL) and held in a flame allowing the flame colour to be observed.",0.8165552020072937,0.6000000238418579
"The aim of the experiment is to prepare and isolate tin iodide compound from its elements (tin and iodine) and to examine the reactivity of tin iodide compound by performing a series of chemical test. As Sn2+ is easily oxidized to more stable Sn4+ ion and difficult to isolate, so focused only on compound SnI4. Sn + 2I2 = SnI4",0.531135618686676,0.8299999833106995
"The aim of this experiment was to prepare tin iodide, SnI4, from its elements, by weighing these out and being especially careful when weighing out iodide, and the performing a series of tests to examine the reactivity of the made tin iodide species. The experiment was started by firstly weighing out 1.0g, 1.01 was weighed, of tin and 2.5 g of iodine. These were then placed in a 100 mL quick fit round-bottom flask, with 10 cm3 of toluene and placed on a heating mantle. After adding a 3 anti-bumping granulates, a condenser was placed on top and the mixture was then heated under reflux until the originally violet solution became orange. After that, the hot solution was decanted and moved to a flask, leaving residual tin in the reaction flask, and petroleum spirit 40/60 was then added to the flask with the hot solution. The residual tin was washed with acetone and set out on a watch glass to dry. The hot solution created orange crystals as it cooled, an ice bath should be used to maximize this crystallization. After the crystals are filtered off under vacuum and washed, chemical tests can be performed. First, the crystals should be dissolved in 15-20 mL of water. For the first test, 2 mL of the solution was added to a test-tube with 4 drops of 0.1 M silver nitrate The second test required 2 mL of the solution in a test tube and then a flame test was done using a copper wire. The third test required 2 mL of the solution to be moved to a test tube and 10 drops of 3% hydrogen peroxide was added. This was shaken for around 30 seconds and 2 mL of petrol was added. The aim of this experiment was to prepare tin iodide, SnI4, from its elements, by weighing these out and being especially careful when weighing out iodide, and the performing a series of tests to examine the reactivity of the made tin iodide species. The experiment was started by firstly weighing out 1.0g, 1.01 was weighed, of tin and 2.5 g of iodine. These were then placed in a 100 mL quick fit round-bottom flask, with 10 cm3 of toluene and placed on a heating mantle. After adding a 3 anti-bumping granulates, a condenser was placed on top and the mixture was then heated under reflux until the originally violet solution became orange. After that, the hot solution was decanted and moved to a flask, leaving residual tin in the reaction flask, and petroleum spirit 40/60 was then added to the flask with the hot solution. The residual tin was washed with acetone and set out on a watch glass to dry. The hot solution created orange crystals as it cooled, an ice bath should be used to maximize this crystallization. After the crystals are filtered off under vacuum and washed, chemical tests can be performed. First, the crystals should be dissolved in 15-20 mL of water. For the first test, 2 mL of the solution was added to a test-tube with 4 drops of 0.1 M silver nitrate The second test required 2 mL of the solution in a test tube and then a flame test was done using a copper wire.",0.6958141922950745,0.75
"The aim of this experiment was to prepare a tin iodide solution using the elements and use the solution to prepare tests that will investigate the reactivity of the tin iodide solution. 1 gram of tin metal was measured into a round-bottom flask, 2.5g of iodine pellets were also added as well as 10cm3 of toluene and a few anti-bumping granules. The flask was heated until a purple vapor started to condense, once the solution became colourless the reaction was removed from the heat. The solution (excluding the tin metal) was transferred into a flask with 10cm3 petroleum 40/60. The tin was rinsed with acetone and dried and weighed. Orange crystals formed from the solution upon cooling, these crystals were then dried using a Buchner funnel and filtration under suction then weighed The aim of this experiment was to prepare a tin iodide solution using the elements and use the solution to prepare tests that will investigate the reactivity of the tin iodide solution. 1 gram of tin metal was measured into a round-bottom flask, 2.5g of iodine pellets were also added as well as 10cm3 of toluene and a few anti-bumping granules. The flask was heated until a purple vapor started to condense, once the solution became colourless the reaction was removed from the heat. The solution (excluding the tin metal) was transferred into a flask with 10cm3 petroleum 40/60. The tin was rinsed with acetone and dried and weighed.",0.6849976778030396,0.30000001192092896
