text,labels
"Some additional information that we would need to replicate the experiment is how much vinegar should be placed in each identical container, how or what tool to use to measure the mass of the four different samples and how much distilled water to use to rinse the four samples after taking them out of the vinegar.",1.0
"After reading the expirement, I realized that the additional information you need to replicate the expireiment is one, the amant of vinegar you poured in each container, two, label the containers before you start yar expirement and three, write a conclusion to make sure yar results are accurate.",1.0
"What you need is more trials, a control set up, and an exact amount of vinegar to pour in each cup/beaker. You could also take and check the mass every 30 min or 1 hour.",1.0
The student should list what rock is better and what rock is the worse in the procedure.,0.0
"For the students to be able to make a replicate, they would need to tell use how much vinegar is used and what tipe of materials is needed for the expirement.",2.0
I would need the information of why you would let the different samples dry out of the containers. And what are they drying into?,1.0
"The information I would need in order to sucessfully replicate the experiment is the correct measurement they used for the experiment, also the materials that was used to creat the experiament. After the 24 hours, of removing the samples from the container and rinsen each sample with distilled water. Making it dry for 30 mintued might not be long enough to really determine the mass of each sample, especially when you have more than one different samples to do with different texture.",1.0
"You would need many more pieces of information to replicate the experiment. You would need the type of samples to begin with in the procedure. You would also need to know the amount of vinegar used in each container. You would also need to know exactly how to mass the samples and what types of container to use (plastic for example, might alter the results).",3.0
Some additional information you will need are the material. You also need to know the size of the contaneir to measure how the acid rain effected it. You need to know how much vineager is used for each sample. Another thing that would help is to know how big the sample stones are by measureing  the best possible way.,3.0
"Inorder to replicate the experiment, we will need to add information such as sticlenx statement of what the four samples are and how many pieces you will need, as well as the amount of vinegar bring poured into the containers and the instruments you will need to retrieve when determining mass.However, revisions of sentences and renuminering will be required.",2.0
An additional information that i would need in order to replicate the experiment,0.0
The additional infomation you would need to replicate the experiment would include the size of the samples. Also you would need to know the kind of vinegar. In a ddition it is crucial to get the same type and size containers.,3.0
"There are two pieces of additional information neccisary to replicate the experiment. Fipst of all the procedure does not officialy specify what the four samples are. Also,the procedure does not specify how much vinigar to pour for each container. A good procedure would have specified this",2.0
In order the replicate the experiment you need,2.0
"Well what i understand about this procedure is that you take four samples, put them in different containers that look the same, put vinegar on every sample + finally rinse them out with normal water + let them sit for 30 minutes till they dry. Then your finally going to see the difference between those samples.",0.0
I don't know what is going on!,0.0
"In order to replicate this experiment, I would need to know the shape of each material, because the amount of surface area expand to the vinegar mass, changes the results. I would also need to know how much vinegar and what size containers to use in order to exactly replicate the experiment.",3.0
The additional information I would need is to come up with an hypothesis to predict which sample will have the highest mass in acid rain. After that I will have to come up with my dependent and independent variables so I can tell and see each one is different in mass. I will organize the data to see if the information is accurate. Then I will write the conclusion to see if my hypothesis was correct and to see if my results were correct.,0.0
"In order to replicate this experiment I would need a scare in order to get the mass. Next, I would need tape and markers to label the containers. Last, I would need all 4 samples and graduated cylinders as a container to replicate this experiment.",0.0
"In order for the me to replicate their procedure, I would need to know what four samples they used, they should include that in their procedure. Also they should stay  where you are to put the four containers during the 24 hour time period finally, they should include what type of vinegar or what brand so that when i were to do this experiment, I would in as close to what they actually did, and therefore would be able to replicate the experiment.",3.0
You would need to have four seperate but identical containers. you would also need to pour in each of them Vinegar to determine the mass of the items being placed in them. And new items would be needed to be placed in each of the containers.,0.0
"Inorder to replicate the experiment, I would need to know the mass of the four different samples, how much vinegar to pour into the containers, what the samples were made up of, and how much water to rinse them with after the 24 hours.",2.0
The students data needed to include how much of the solution was poored. They also needed to find out if the rocks weighed the same when they started.,0.0
"For this experiments duplication, you would need to know exactly how much vinegar was used in each cup. You would also have to know how big in size each container was. Additionally, you would need to know the size of each sample, to assure that you could place them in the cups evenly.",3.0
Some additional information that I would need is the amount of vinegar they poured.,1.0
"After reading the groups procedure I would need to know what type of vinegar they were using because it could of been any type, what was the measure of containers because the containers could have been 3 different sizes and they wouldn't have valid results, and they also should have told me what they were holding constant because I wouldn't know what variables to use or control.",2.0
They needed to include what time they started and when they ended. Also the amount of vinegar they used. Also the size of each sample.,2.0
"1). Get 4 different samples: marble, limestone, wood, plastic. ^p 2). Put each sample into 4 different containers. ^p 3). Pour vinegar in each of 4 separate but identical containers. ^p 4). After 24 hrs remove the samples from the container and rinse each w/ distilled water. ^p 5). Allow samples to sit and dry for 30 min. ^p 6). Determine the data of each sample. ^p 7). Record your data.",0.0
"In order to replicate this experiment, you would need to know what the samples were. In this group's procedure, they do not state what",3.0
"In step three, you would need to know how much of each sample to use. Also in step to you need to fill each container with the same amount step 4 you must rinse each stone as much. Also there is no control variable.",2.0
"I additional information that I would need to replicate the experiment is to add where your going to leave the samples for 24 hours. Another one that they would need to add in order for me to replicate the experiment is to clearly state the independent variable. I would also need them to state how much vinegar to pour into each seperate but identical, container.",2.0
You will need a timer to determine the time that the vinegar dryed up.,0.0
"For this experiment, you would actually need to know what each ''sample'' is, the amount of vinegar that was used and the size of each ''sample''",3.0
To replicate the experiment I would need to know the samples that I will be using. I would also need to know how much vinegar to use. I would also need to know what type of containers to use.,3.0
"In order to replicate the experiment.You would need to know how much vinegar to pour ,you need to know how much distilled water and you aso need to know how your going to weigh it.",1.0
Well I would need to know what the problem statement is. I would need to know what type of cups we are using.I would need to know the amount of vinegar we are using. And I would need to know if the amount of vinegar in each cup will differ.,2.0
In order to replicate the experiment i would need to know how much of each material is used before i go and find the mass. I would need to know how much vinegar to pour on each material. Although they show the materials in the data take they should still list them in the procedure.,2.0
"I will need to know what's the purpose for this experiment, know the difference in mass for each sample, and I need to know an esimate of what they thought the starting and ending mass was.",0.0
They should add how much vinegar to add to each sample. For this lab to be more accurate they should have also added more trials as well as adding a constant variable such as a rock in just water.,1.0
"In order to replicate this experiment I would need to know, first how to calculate the mass of the samples. I would also need t o know what the four samples are, as if is not stated in the procedure. Lastly to repeat this expirement I would need to know how much vinegar was placed into each container.",2.0
"Additional information that would be needed to replicate the data would be what equipment is needed for the experiment,what materials are going to be used,and how much of each material will be used?",1.0
"In order to replicate this experiment:you would need to know the amount of vinegar to pour in the container. You also need to know what to pe of coniainer to pour the vinegar in. Also, you need to know how much or how long to rinse the samples with distilled water.",3.0
After reading the procedure i would  first need to know what the for sample are that i am testing second i ^p would need to know how much vinegar put in each container next the procedure should tell me how thing to case rinse each sample in distiled water.,3.0
"Determine what the different samples are, then state how much vinegar you would be adding to each sample. State how long you are rising the materials in water. (ex 5 minutes)",3.0
"In order to replicate the groups experiment, I would need a lot of additional information. First of all, I would need to know what it is that they are using as the four samples (rocks bark)",2.0
"I think the experiment should make the description more specific so as not to be confused and mistake cups.For instance , they could say ""each of the cork samples"", and ""place sample  into cup labeled 'A'""",0.0
"One extra thing that needs to be included is what material or object the four samples are of another thing not included is the amount of vinegar needed to put in each containers. The words ""A sample"" doesn't specify the exact amount of each rock are needed. A repetition of this experiment is needed to verify the results.",2.0
"There could be more than 1 test for each sample. There could also have a constant added to the expariement. Also, there are to softy instanchings in the experiment like put on goggles before eyes where gloves when touching the vinegar",0.0
"They should take more notes, that way, in case they mess up, they can have a the information how to redo it.",0.0
"How much vinager should you pour, with what label, and when to sit it, it sitand dry for 30 min...Label. The container's reapetedly, separate but identicle conatainer. What containers should we use?",3.0
"In order to replicate this experiment, I would need to know what the different mauterials were. I would also need to know how many different materials there were and what the starting mass of each material was.",1.0
In the experiment  I would determine the mas of each sample pair the  vinegar into a container then label. I would wait 24 hours then pour out the vinegar and nose out with water. Let the samples dry and find the mass difference,0.0
