text,prediction,true
"Journal Title: Science  Journal “Impact Factor”: 47.728 (to be taken from Web of Science “Journal Citation Reports”)  Title of Paper: Hydrogenation of fluoroarenes: Direct access to all-cis-(multi)fluorinated cycloalkane.  Reference in RSC format: M. Wiesenfeldt, Z. Nairoukh, W. Li, and F. Glorius, Science, 2017, 357, 908-912.    Reference in ACS format: Weisenfeldt, M., Nairoukh, Z., Li, W., and Glorius, F. Hydrogenation of fluoroarenes: Direct access to all-cis-(multi)fluorinated cycloalkane. Science. 2017, 357 (6354), 908-912. DOI: 10.1126/science.aao0270   Abstract (maximum 150 words): Fluorine-carbon bonds are very strong bonds due to the high electronegativity of fluorine. Which leads to a large dipole moment, ideal for many polar reactions in material chemistry. Therefore, a greater polarity from cis-fluoro-arenes is highly applicable and valued and optimized synthesis reactions are intriguing. Previously, production of cis-fluoro-arenes have given low yields, required large quantities of catalysts and resulted in unwanted diastereoisomers. A new proposed method of synthesis is hydrogenation, which can be applied to a large variety of reagents, uses minimal catalysts, 0.5 - 1%, and gives high yields of the products. This method gives access to highly polar compounds and considers diastereoselectivity in a single step as well as ensuring hydrodefluorination does not occur.",0.7261931300163269,0.6000000238418579
"Journal Title: Journal of The American Chemical Society  Journal “Impact Factor”:  14.612 (to be taken from Web of Science “Journal Citation Reports”)  Title of Paper: Iron-Catalyzed Regioselective Anti-Markovnikov Addition of C–H Bonds in Aromatic Ketones to Alkenes    Reference in RSC format  N.Kimura, T.Kochi and F. Kaliuchi, J. Am. Chem. Soc., 2017, 139, 14849- 14852.   Reference in ACS format  Kimura, N.; Kochi, T.; Kakiuchi, F. Iron-catalysed Regioselective Anti- Markovnikov Addition of C-H Bonds in Aromatic Ketones to Alkenes. J. Am. Chem. Soc. 2017, 139(42), 14849-14852. DOI: 10.1021/jacs.7b08385    Abstract (129 words):   This paper studies the coupling of aromatic ketones to alkenes, under the presence of the iron catalyst Fe(PMe3)4, to selectively afford anti-Markovnikov addition products. There has been a variety of similar experiments considering earth abundant metals with mild reaction conditions, however none received the excellent yields and regioselectivity that this simple catalyst produced. The alkylation reaction found that the coupling of alkenes with the ortho C-H bonds in aromatic ketones was selectively favoured to produce linear alkylation products. A broad variety of alkenes were discovered to be applicable for this mechanism: an enamine, vinylsilanes, styrenes and aliphatic terminal alkenes all produced high yields. Significantly, for the first time, the reaction of aromatic ketones with enol ethers afforded the highly yielding predominant formation of anti-Markovnikov addition products (up to 97%).",0.7824694514274597,0.75
"Journal Title: Science  Journal “Impact Factor”: 47.728  Title of Paper: Mechanosensitive Self-Replication Driven by Self-Organization   Reference in RSC format: J. Carnall, C. Waudby, A. Belenguer, M. Stuart, J. Peyralans and S. Otto, Science, 2010, 327, 1502-1506.   Reference in ACS format: Carnall, J.; Waudby, C.; Belenguer, A.; Stuart, M.; Peyralans, J.; Otto, S. Mechanosensitive Self-Replication Driven By Self-Organization. Science 2010, 327 (5972), 1502-1506.   Abstract:  Self-replication is a crucial part of Darwinian evolution. However, it is unclear where it originated as it does not follow a thermodynamic path towards equilibrium. To investigate its possible emergence, a dynamic combinatorial library was set up using dithiol and alternating hydrophobic and hydrophilic α-amino acid building blocks, leucine, and lysine respectively. The mixture was observed under pH 8 and agitation, both stirring and shaking. It was shown through characterization that there was significant formation of macro ß-sheet structures, with agitation increasing their amount. From this a schematic model of self-organisation was proposed with two main processes: elongation of fibres; and breakage of them, which exponentially increased the amount. Differences in formation of heptamer versus hexamer show formation being kinetically determined in the fibre growing phase. These findings support the notion that kinetic products can result from reversible processes if non-covalent interactions are dominant enough.",0.7134547233581543,0.6499999761581421
"Journal Title: SCIENCE   Journal “Impact Factor”: 47.728  (to be taken from Web of Science “Journal Citation Reports”)  Title of Paper: Mechanosensitive Self-Replication Driven by Self-Organization  Reference in RSC format:   J M. A. Carnall, C. A Waudby, A. M. Belenguer, M C. A. Stuart and J J. -P. Peyralans, SCIENCE, 2010, 327, 1502-1506.  Reference in ACS format:   Carnall, J M. A.; Waudby, C. A.; Belenguer, A. M.; Stuart, M C. A.; Peyralans, J J. -P. SCIENCE, 2010, 327, 1502-1506.    Abstract (maximum 150 words):         Replication is a key process required for the evolution of life and it is probable that self-replicating molecules played a role in the origin of life. In living organisms, the replication process is not in equilibrium, resulting in uneven distributions of molecules. This unequal equilibrium could be the consequence of a whole range of factors, some impacting the equilibrium more significantly than others. With the use of small dynamic combinatorial libraries an investigation was carried out on two self-replicating macrocycles derived from peptides, competing for raw materials. The replication is driven by formation of fibers, made up of macrocycle monomers and stabilized with -sheets, promoting further formation. Mechanosensitivity, whether the sample is stirred or shaken influences which macrocycle is the more dominant one. These findings suggest the outcome of covalent synthesis reactions can be determined by mechanical forces selecting for one replicator over another.",0.7271831035614014,0.6499999761581421
"Journal Title: Molecules  Journal “Impact Factor”: 3.267 (to be taken from Web of Science “Journal Citation Reports”)  Title of Paper: Comparison of Volatile and Nonvolatile Compounds in Rice Fermented by Different Lactic Acid Bacteria  Reference in RSC format: S. M. Lee, Y. R. Hwang, M. S. Kim, M. S. Chung and Y. S. Kim, Molecules, 2019, 24, 1183.  Reference in ACS format: Lee, S. M.; Hwang, Y. R.; Kim, M. S.; Chung, M. S.; Kim, Y. S. Molecules 2019, 24, 1183.  Abstract (maximum 150 words):  Fermentation of rice by lactic acid bacteria (LAB) can be used to create probiotic foods as dairy replacements. Different LAB produce various volatile and non-volatile flavour compounds, however the variation and metabolic formation of these products is not well known. Gas chromatography-mass spectrometry and solid-phase microextraction identified 47 volatile products of rice fermentation, including acids, aldehydes, esters and other common organic compounds. 37 non-volatile products, including amino acids, organic acids and carbohydrates, were characterised by gas chromatography-time-of-flight/ mass spectrometry. It was found that the products of rice fermentation differed significantly between obligatory heterofermentative and facultatively heterofermentative/ obligatorily homofermentative LAB, particularly the amounts of ethanol, 3-hydroxybutan-2-one and butane-2,3-dione. This can be accounted for by different metabolic pathways. Principle component analysis showed that fermented rice samples can be categorised into different LAB strains. This could allow desired aromas in rice-based foods to be produced by selecting specific LAB for fermentation.  Word count: 148",0.8067116737365723,0.8999999761581421
"Journal Title: Organic Letters   Journal “Impact Factor”: 6.005, (without self-citation = 5.203)  (to be taken from Web of Science “Journal Citation Reports”)  Title of Paper: Well-Defined Phosphine-Free Iron-Catalyzed N-Ethylation and N-Methylation of Amines with Ethanol and Methanol   Reference in RSC format:  A. Lator, S. Gaillard, A. Poater and J. Renaud, Organic Letters, 2018, 20, 5985-5990.     Reference in ACS format:  Lator, A.; Gaillard, S.; Poater, A.; Renaud, J. Well-Defined Phosphine-Free Iron-Catalyzed N-Ethylation And N-Methylation Of Amines With Ethanol And Methanol. Organic Letters 2018, 20 (19), 5985-5990.    Abstract (maximum 150 words):  N-methylation of amines provides useful materials for developing medicinal treatments, by introducing an N-methylation into a compound, this compound can penetrate through the blood-brain barrier, hence entering the CNS more easily, however, traditional approaches of N-methylation use hazardous materials such as iridium and achieve a low yield due to regioselectivity. An alternative method of N-methylation of amines has been developed to mitigate these problems. Through use of a hydrogen borrowing strategy a more efficient way of N-methylation presents itself. The general reaction involves an oxidation of methanol with a metal, forming a ketone, and the hydrogen which has been removed is bound to the metal in a borrowing like manner; the hydrogen is given back to the new imine which is formed from reductive amination of the ketone. Compounds can be altered from being O-methylated to N-methylated through this strategy with minimal use of hazardous materials or problems with regioselectivity.",0.7559029459953308,0.6000000238418579
"Journal Title: Molecules  Journal “Impact Factor”: 3.267 (to be taken from Web of Science “Journal Citation Reports”)  Title of Paper: Comparison of Volatile and Nonvolatile Compounds in Rice Fermented by Different Lactic Acid Bacteria   Reference in RSC format:  S.M. Lee, Y.R. Hwang, M.S. Kim, M.S. Chung and Y.-S. Kim, Molecules, 2019, 24, 1183.   Reference in ACS format:  Lee, S.M.; Hwang, Y.R.; Kim, M.S.; Chung, M.S.; Kim, Y.-S. Molecules 2019, 24, 1183.   Abstract (maximum 150 words): Rice-based functional foods produced by lactic acid bacteria (LAB) fermentation have considerable potential to be used as a dairy replacement. Despite rice being a staple food, the volatile and nonvolatile compounds present in rice fermented by different LABs had not previously been explored. Rice was fermented by 12 different LABs and volatile profiles were obtained using solid phase micro-extraction then analysed with Gas Chromatography-Mass Spectrometry. The nonvolatile compounds were analysed using Gas Chromatography-Time of Flight-Mass Spectrometry. The application of principle component analysis (PCA) to data sets of the profiles of volatile and nonvolatile compounds showed that the fermented rice samples are distinguishable according to the LAB strain. In general, there were significant differences in the levels of volatile and nonvolatile compounds, especially ethanol, produced by obligatorily heterofermentative and facultatively heterofermentative/ obligatorily homofermentative LAB. These results can be used to produce higher quality rice-based fermented products.",0.7882021069526672,0.75
"Journal Title: Journal of the American chemical society  Journal “Impact Factor”:  (to be taken from Web of Science “Journal Citation Reports”)  2020 Journal Impact Factor: 15.419 Five-year Journal impact factor: 15.801  Journal Impact Factor Without Self-Citations: 14.394  Title of Paper:  Stereoselective Synthesis of Cyclobutanes by Contraction of Pyrrolidines.   Reference in RSC format:  C. Hui, L. Brieger, C. Strohmann and A. P. Antonchick, J. Am. Chem. Soc., 2021, 143, 18864–18870.    Reference in ACS format:  Hui, C.; Brieger, L.; Strohmann, C.; Antonchick, A. P. J. Am. Chem. Soc. 2021, 143, 18864–18870.          Abstract (maximum 150 words):  Cyclobutanes are interesting chemical compounds, they’re of huge curiosity in organic synthesis due to its ring opening and ring contraction reactions that enable a range of natural products to be prepared from such properties. Within this paper, a synthetic method for the stereo-controlled synthesis of multisubstituted cyclobutanes is considered. The method proposed consists of a conversion of pyrrolidines to cylclobutanes using iodonitrene chemistry. This reaction is also mediated by a nitrogen extrusion process, unsymmetrical spiral cyclobutanes were prepared and a synthesis of the natural product 1,1'-((1S,2S,3S,4S)-2-(3,4-dimethoxyphenyl)-4-(3,4,5-trimethoxyphenyl)cyclobutane-1,3-dicarbonyl)bis(5,6-dihydropyridin-2(1H)-one) is reported.       times cited: 3  [Data taken from Web of Science on (13 / 03 / 2022)]",0.757683515548706,0.6499999761581421
"Journal Title: Molecules  Journal “Impact Factor”: 4.412 (2020) (to be taken from Web of Science “Journal Citation Reports”)  Title of Paper: Comparison of Volatile and Nonvolatile Compounds in Rice Fermented by Different Lactic Acid Bacteria   Reference in RSC format: S. Lee, Y. Hwang, M. Kim, M. Chung, and Y.-S. Kim, Molecules, 2019, 24, 1183   Reference in ACS format: Lee, S.; Hwang, Y.; Kim, M.; Chung, M.; Kim, Y.-S. Comparison of Volatile and Nonvolatile Compounds in Rice Fermented by Different Lactic Acid Bacteria. Molecules 2019, 24, 1183.    Abstract (maximum 150 words): Rice fermentation using lactic acid bacteria (LAB) is an important process in food production, producing many important flavor compounds. Gas chromatography-mass spectrometry (GC-MS) and gas chromatography-time of flight-mass spectrometry (GC-TOF-MS) methods were used to identify and compare volatile and nonvolatile products of rice fermentation by 12 different LAB strains used in Korean food fermentation. 47 volatile and 37 nonvolatile products were quantitatively identified, which allowed comparison between strains with insight into potential differences in fermentation pathways and enzyme levels supported by existing research.  Principal component analysis (PCA) showed clear differentiation of obligatory heterofermentative strains from homofermentative/facultatively heterofermentative LABs, as well as identifying Lac. sakei used in fermented barley paste as an outlier through its volatile products. A number of furans, aldehydes, alcohols, ketones in volatile products and carbohydrates, amino acids and organic acids in nonvolatile products were identified produce such differentiation between clusters of strains in PCA score plots.",0.7449449300765991,0.75
"Journal Title: Journal of Organometallic Chemistry  Journal “Impact Factor”:  2.304 (to be taken from Web of Science “Journal Citation Reports”)  Title of Paper: Carboxylic acid addition to terminal alkynes utilizing ammonium tagged Hoveyda-Grubbs catalyst supported on magnetically separable core/shell silica: A highly reusable and air compatible catalytic system  Reference in RSC format:  B. Ö. Özturk, D. Gurcu and S. K. Şehitoglu, J. Organomet. Chem., 2019, 883, 11-16.  Reference in ACS format  Özturk, B. Ö; Gurcu, D.; Şehitoglu, S. K. J. Organomet. Chem. 2019, 883, 11-16.  Abstract (maximum 150 words):   An investigation of the addition reaction of carboxylic acid to an alkyne catalysed by ammonium tagged Hoveyda-Grubbs catalyst supported on magnetically separable core/shell silica gells indicated high efficiency and of this heterogenous catalyst. The catalyst was compared to a homogenous Hoveyda-Grubbs catalyst, and the products of the respectively catalysed reactions, involving varying reactants, reactant ratios and solvents, characterized by 1H NMR and Gas Chromatography Mass Spectrometry, were used characterise the products, degree of conversion, and proportions of isomers, calculated from the integral values of NMR and GC-MS data. The heterogenous catalyst was found to be air tolerant and more selective of the E isomer product of the addition. Reusability of the catalyst was tested with the addition of acetic and benzoic acid to phenylacetylene, washed with toluene and DCM between repeated use. The catalyst was found to be highly reusable with little decrease in activity, up until the 11th run.",0.7989562749862671,0.75
