"Step","Self-attention-prompt-1-static - eval_qwk","Self-attention-prompt-1-static - eval_qwk__MIN","Self-attention-prompt-1-static - eval_qwk__MAX"
"25","-0.0025471217524197787","-0.0025471217524197787","-0.0025471217524197787"
"51","0","0","0"
"77","0","0","0"
"103","0","0","0"
"129","0","0","0"
"155","0","0","0"
"181","0","0","0"
"207","0","0","0"
"233","0","0","0"
"259","0","0","0"
"285","0","0","0"
"311","0","0","0"
"337","-0.07696215392430794","-0.07696215392430794","-0.07696215392430794"
"363","0","0","0"
"389","0","0","0"
"415","0","0","0"
"441","0","0","0"
"467","0","0","0"
"493","0","0","0"
"519","0","0","0"
"545","0","0","0"
"571","0","0","0"
"597","0","0","0"
"623","0","0","0"
"649","0","0","0"
"675","0","0","0"
"701","0","0","0"
"727","0","0","0"
"753","0","0","0"
"779","0","0","0"
"805","0","0","0"
"831","0","0","0"
"857","0","0","0"
"883","0","0","0"
"909","0","0","0"
"935","0","0","0"
"961","0","0","0"
"987","0","0","0"
"1013","0","0","0"
"1039","0","0","0"
"1065","0","0","0"
"1091","0","0","0"
"1117","0","0","0"
"1143","0","0","0"
"1169","0","0","0"
"1195","0","0","0"
"1221","0","0","0"
"1247","0","0","0"
"1273","0","0","0"
"1299","0","0","0"
"1325","0","0","0"
"1351","0","0","0"
"1377","0","0","0"
"1403","0","0","0"
"1429","0","0","0"
"1455","0","0","0"
"1481","0","0","0"
"1507","0","0","0"
"1533","0","0","0"
"1559","0","0","0"
"1585","0","0","0"
"1611","0","0","0"
"1637","0","0","0"
"1663","0","0","0"
"1689","0","0","0"
"1715","0","0","0"
"1741","0","0","0"
"1767","0","0","0"
"1793","0","0","0"
"1819","0","0","0"
"1845","0","0","0"
"1871","0","0","0"
"1897","0","0","0"
"1923","0","0","0"
"1949","0","0","0"
"1975","0","0","0"
"2001","0","0","0"
"2027","0","0","0"
"2053","0","0","0"
"2079","0","0","0"
"2105","0","0","0"
"2131","0","0","0"
"2157","0","0","0"
"2183","0","0","0"
"2209","0","0","0"
"2235","0","0","0"
"2261","0","0","0"
"2287","0","0","0"
"2313","0","0","0"
"2339","0","0","0"
"2365","0","0","0"
"2391","0","0","0"
"2417","0","0","0"
"2443","0","0","0"
"2469","0","0","0"
"2495","0","0","0"
"2521","0","0","0"
"2547","0","0","0"
"2573","0","0","0"
"2599","0","0","0"
"2600","0","0","0"
